Developer,Repo Name,Number of Stars
tw93,Pake,"4,301"
shinework,photoshot,440
exaloop,codon,"2,320"
louislam,uptime-kuma,"24,980"
hwchase17,langchain,848
AUTOMATIC1111,stable-diffusion-webui,"24,668"
charmbracelet,glow,"11,023"
869413421,wechatbot,628
TheLastBen,fast-stable-diffusion,"2,890"
fuergaosi233,wechat-chatgpt,"3,299"
f,awesome-chatgpt-prompts,"3,542"
AutumnWhj,ChatGPT-wechat-bot,793
deepmind,dramatron,293
revanced,revanced-patches,"2,154"
tiann,KernelSU,322
humanloop,awesome-chatgpt,"1,413"
ange-yaghi,engine-sim,"7,042"
iptv-org,iptv,"59,300"
pulsar-edit,pulsar,528
UberGuidoZ,Flipper,"3,219"
gragland,chatgpt-chrome-extension,610
wechaty,wechaty,"14,171"
holbertonschool,Betty,693
Grasscutters,Grasscutter,"11,867"
GitHubDaily,GitHubDaily,"17,602"
